id;nombre;notas;fecha_alta;activo;orden;cronograma_id
1;New York tangible Mississippi;Frozen bus;2019-10-23T22:08:54;true;56127;1
2;compress;Sleek Metal Table Small;2019-10-24T05:51:47;false;20171;2
3;Dynamic;knowledge base Buckinghamshire;2019-10-23T18:37:32;false;24929;3
4;relationships override;Brand;2019-10-24T02:02:04;false;69478;4
5;JSON;virtual deposit;2019-10-23T19:29:32;false;80367;5
6;maroon;EXE projection Fresh;2019-10-24T07:51:21;false;90682;6
7;contextually-based;synergies copying;2019-10-23T19:44:59;false;695;7
8;Borders;Bedfordshire Bahamian Dollar;2019-10-24T09:56:28;false;24412;8
9;Gloves sky blue Oklahoma;robust Engineer;2019-10-23T17:18:31;false;25178;9
10;Buckinghamshire capability zero tolerance;mission-critical;2019-10-23T16:58:07;true;41103;10
