id;nombre;descripcion;numero_columnas;activo;tipo_plantilla_id
1;Borders Borders Practical;methodical;32866;true;1
2;ivory Data neural;Unbranded;49442;true;2
3;Designer;mindshare;88770;true;3
4;bandwidth Liaison;program Auto Loan Account Refined;8410;false;4
5;Centralized revolutionize International;Sleek;8483;false;5
6;Maine PCI SAS;Interactions;98600;true;6
7;dynamic bandwidth Buckinghamshire;Oklahoma communities;90635;false;7
8;supply-chains;Tools;46866;true;8
9;hack;Fresh payment synthesize;58336;false;9
10;seize Glen Refined;Mandatory Assistant;1215;true;10
