id;nombre;expresion_regular;texto_ayuda
1;system Gorgeous Rubber Pants;hack;leading-edge
2;Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes
3;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account
4;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;Station
5;parsing Investment Account;Branding Dynamic black;yellow
6;Books Generic;robust withdrawal generate;Garden open-source hybrid
7;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China
8;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure
9;Managed Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize
10;Direct;Small Frozen Salad bypassing;time-frame Quality
